,misto30,efektivitacerpani6,star30,koal30,koalkdu30
1,Brno-Bohunice,0.753964306,KDU,NEW,KDU
2,Brno-Bosonohy,0.997244426,CSSD,OLD,OLD
3,Brno-Bystrc,0.371310162,CSSD,OLD,OLD
4,Brno-Černovice,0.815865901,CSSD,OLD,OLD
5,Brno-Chrlice,0.817414836,ANO,NEW,NEW
6,Brno-Ivanovice,0.137955857,ODS,OLD,OLD
7,Brno-Jehnice,0.999817676,NK,NK,NK
8,Brno-jih,0.554187934,ANO,NEW,NEW
9,Brno-Jundrov,0.688610466,SZ,NEW,NEW
10,Brno-Kníničky,0.137885345,NK,NK,NK
11,Brno-Kohoutovice,0.78288179,KDU,NEW,KDU
12,Brno-Komín,0.785754066,ANO,NEW,NEW
13,Brno-Královo Pole,0.148212185,ANO,NEW,NEW
14,Brno-Líšeň,0.542711213,CSSD,OLD,OLD
15,Brno-Maloměřice a Obřany,0.852420039,KDU,NEW,KDU
16,Brno-Medlánky,0.46823665,NK,NK,NK
17,Brno-Nový Lískovec,0.809102399,SZ,NEW,NEW
18,Brno-Ořešín,0.990159752,STAN,NK,NK
19,Brno-Řečkovice a Mokrá Hora,0.924458914,CSSD,OLD,OLD
20,Brno-sever,0.447127096,SOL,NK,NK
21,Brno-Slatina,0.777984706,CSSD,OLD,OLD
22,Brno-Starý Lískovec,0.55756226,ODS,OLD,OLD
23,Brno-střed,0.367060723,ZB,NEW,NEW
24,Brno-Tuřany,0.884303539,NK,NK,NK
25,Brno-Útěchov,0.94445304,STAN,NK,NK
26,Brno-Vinohrady,0.947804703,CSSD,OLD,OLD
27,Brno-Žabovřesky,0.48131328,CSSD,OLD,OLD
28,Brno-Žebětín,0.629985576,KDU,NEW,KDU
29,Brno-Židenice,0.35320013,ANO,NEW,NEW
30,Brno,0.864115118,ANO,NEW,NEW
